[2024-10-07 18:24:32,560] 161 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[2024-10-07 18:24:33,357] 69 root - INFO - >>>>> Nested Cross Validation Training Pipeline started <<<<
[2024-10-07 18:24:33,361] 26 root - INFO - yaml file: training/config/config.yaml loaded successfully as <class 'dict'>
[2024-10-07 18:24:33,362] 26 root - INFO - yaml file: training/config/params.yaml loaded successfully as <class 'dict'>
[2024-10-07 18:24:33,363] 26 root - INFO - yaml file: training/config/schema.yaml loaded successfully as <class 'dict'>
[2024-10-07 18:24:33,363] 43 root - INFO - Created directory at: artifacts
[2024-10-07 18:24:33,363] 43 root - INFO - Created directory at: artifacts/nested_cross_val
[2024-10-07 18:24:33,363] 43 root - INFO - Created directory at: artifacts/feature_extraction
[2024-10-07 18:24:33,363] 43 root - INFO - Created directory at: artifacts/nested_cross_val/random_search_models/random_forest
[2024-10-07 18:24:33,363] 43 root - INFO - Created directory at: artifacts/nested_cross_val/model_cache_rf
[2024-10-07 18:24:33,363] 43 root - INFO - Created directory at: artifacts/nested_cross_val/data_for_final_train
[2024-10-07 18:24:33,363] 43 root - INFO - Created directory at: artifacts/nesteed_cross_val/data_for_final_train
[2024-10-07 18:24:36,397] 82 root - INFO - Train.npz and Test.npz saved at artifacts/nested_cross_val/data_for_final_train and artifacts/nesteed_cross_val/data_for_final_train
[2024-10-07 18:24:36,507] 74 root - ERROR - Error occured in python script name [/content/Fabric_Detection/training/pipeline/cross_val/nested_cross_val.py] line number [53] error message[NestedCrossVal.create_param_grids() takes 0 positional arguments but 1 was given]
